startTime,endTime,value
2025-05-02T14:48:00.000Z,2025-05-02T14:51:00.000Z,1248.8
2025-05-02T14:45:00.000Z,2025-05-02T14:48:00.000Z,1234.5
2025-05-02T14:42:00.000Z,2025-05-02T14:45:00.000Z,1233.2
2025-05-02T14:39:00.000Z,2025-05-02T14:42:00.000Z,1227.5
2025-05-02T14:36:00.000Z,2025-05-02T14:39:00.000Z,1204.2
2025-05-02T14:33:00.000Z,2025-05-02T14:36:00.000Z,1175.3
2025-05-02T14:30:00.000Z,2025-05-02T14:33:00.000Z,1134.7
2025-05-02T14:27:00.000Z,2025-05-02T14:30:00.000Z,1131.0
2025-05-02T14:24:00.000Z,2025-05-02T14:27:00.000Z,1126.7
2025-05-02T14:21:00.000Z,2025-05-02T14:24:00.000Z,1141.0
2025-05-02T14:51:00.000Z,2025-05-02T14:54:00.000Z,1286.8
2025-05-02T14:54:00.000Z,2025-05-02T14:57:00.000Z,1311.0
2025-05-02T14:57:00.000Z,2025-05-02T15:00:00.000Z,1346.3
2025-05-02T15:03:00.000Z,2025-05-02T15:06:00.000Z,1232.8
2025-05-02T15:00:00.000Z,2025-05-02T15:03:00.000Z,1326.0
2025-05-02T15:12:00.000Z,2025-05-02T15:15:00.000Z,1275.5
2025-05-02T15:09:00.000Z,2025-05-02T15:12:00.000Z,1256.0
2025-05-02T15:06:00.000Z,2025-05-02T15:09:00.000Z,1250.3
2025-05-02T16:12:00.000Z,2025-05-02T16:15:00.000Z,1293.7
2025-05-02T16:09:00.000Z,2025-05-02T16:12:00.000Z,1311.0
2025-05-02T16:06:00.000Z,2025-05-02T16:09:00.000Z,1314.8
2025-05-02T16:03:00.000Z,2025-05-02T16:06:00.000Z,1342.2
2025-05-02T16:00:00.000Z,2025-05-02T16:03:00.000Z,1360.5
2025-05-02T15:57:00.000Z,2025-05-02T16:00:00.000Z,1373.3
2025-05-02T15:54:00.000Z,2025-05-02T15:57:00.000Z,1386.5
2025-05-02T15:51:00.000Z,2025-05-02T15:54:00.000Z,1392.3
2025-05-02T15:48:00.000Z,2025-05-02T15:51:00.000Z,1410.0
2025-05-02T15:45:00.000Z,2025-05-02T15:48:00.000Z,1424.7
2025-05-02T17:33:00.000Z,2025-05-02T17:36:00.000Z,1288.5
2025-05-02T17:30:00.000Z,2025-05-02T17:33:00.000Z,1361.3
2025-05-02T17:27:00.000Z,2025-05-02T17:30:00.000Z,1373.7
2025-05-02T17:24:00.000Z,2025-05-02T17:27:00.000Z,1364.7
2025-05-02T17:21:00.000Z,2025-05-02T17:24:00.000Z,1360.8
2025-05-02T17:18:00.000Z,2025-05-02T17:21:00.000Z,1323.3
2025-05-02T17:15:00.000Z,2025-05-02T17:18:00.000Z,1268.0
2025-05-02T17:12:00.000Z,2025-05-02T17:15:00.000Z,1243.5
2025-05-02T17:09:00.000Z,2025-05-02T17:12:00.000Z,5
2025-05-02T17:06:00.000Z,2025-05-02T17:09:00.000Z,1255.2
2025-05-02T17:36:00.000Z,2025-05-02T17:39:00.000Z,1245.0
2025-05-02T17:39:00.000Z,2025-05-02T17:42:00.000Z,1258.3
2025-05-02T17:45:00.000Z,2025-05-02T17:48:00.000Z,1294.0
2025-05-02T17:42:00.000Z,2025-05-02T17:45:00.000Z,1265.8
2025-05-02T18:09:00.000Z,2025-05-02T18:12:00.000Z,1378.2
2025-05-02T18:06:00.000Z,2025-05-02T18:09:00.000Z,1380.0
2025-05-02T18:03:00.000Z,2025-05-02T18:06:00.000Z,1410.2
2025-05-02T18:00:00.000Z,2025-05-02T18:03:00.000Z,1412.5
2025-05-02T17:57:00.000Z,2025-05-02T18:00:00.000Z,1376.3
2025-05-02T17:54:00.000Z,2025-05-02T17:57:00.000Z,1310.8
2025-05-02T17:51:00.000Z,2025-05-02T17:54:00.000Z,1298.0
2025-05-02T17:48:00.000Z,2025-05-02T17:51:00.000Z,1295.5
2025-05-02T18:12:00.000Z,2025-05-02T18:15:00.000Z,1382.0
2025-05-02T18:18:00.000Z,2025-05-02T18:21:00.000Z,1391.2
2025-05-02T18:15:00.000Z,2025-05-02T18:18:00.000Z,1400.7
2025-05-02T18:21:00.000Z,2025-05-02T18:24:00.000Z,1407.5
2025-05-05T07:24:00.000Z,2025-05-05T07:27:00.000Z,1633.5
2025-05-05T07:21:00.000Z,2025-05-05T07:24:00.000Z,1628.0
2025-05-05T07:18:00.000Z,2025-05-05T07:21:00.000Z,1629.7
2025-05-05T07:15:00.000Z,2025-05-05T07:18:00.000Z,1647.7
2025-05-05T07:12:00.000Z,2025-05-05T07:15:00.000Z,1650.3
2025-05-05T07:09:00.000Z,2025-05-05T07:12:00.000Z,1644.0
2025-05-05T07:06:00.000Z,2025-05-05T07:09:00.000Z,1640.3
2025-05-05T07:03:00.000Z,2025-05-05T07:06:00.000Z,1640.0
2025-05-05T07:00:00.000Z,2025-05-05T07:03:00.000Z,1616.5
2025-05-05T06:57:00.000Z,2025-05-05T07:00:00.000Z,1614.8
2025-05-05T08:27:00.000Z,2025-05-05T08:30:00.000Z,1650.8
2025-05-05T08:24:00.000Z,2025-05-05T08:27:00.000Z,1645.5
2025-05-05T08:21:00.000Z,2025-05-05T08:24:00.000Z,1661.8
2025-05-05T08:18:00.000Z,2025-05-05T08:21:00.000Z,1654.9
2025-05-05T08:15:00.000Z,2025-05-05T08:18:00.000Z,1690.8
2025-05-05T08:12:00.000Z,2025-05-05T08:15:00.000Z,1698.0
2025-05-05T08:09:00.000Z,2025-05-05T08:12:00.000Z,1694.5
2025-05-05T08:06:00.000Z,2025-05-05T08:09:00.000Z,1690.3
2025-05-05T08:03:00.000Z,2025-05-05T08:06:00.000Z,1693.5
2025-05-05T08:00:00.000Z,2025-05-05T08:03:00.000Z,1618.8
2025-05-05T08:45:00.000Z,2025-05-05T08:48:00.000Z,1668.8
2025-05-05T08:42:00.000Z,2025-05-05T08:45:00.000Z,1670.8
2025-05-05T08:39:00.000Z,2025-05-05T08:42:00.000Z,1672.8
2025-05-05T08:36:00.000Z,2025-05-05T08:39:00.000Z,1674.2
2025-05-05T08:33:00.000Z,2025-05-05T08:36:00.000Z,1671.8
2025-05-05T08:30:00.000Z,2025-05-05T08:33:00.000Z,1654.5
2025-05-05T09:27:00.000Z,2025-05-05T09:30:00.000Z,1674.0
2025-05-05T09:24:00.000Z,2025-05-05T09:27:00.000Z,1679.2
2025-05-05T09:21:00.000Z,2025-05-05T09:24:00.000Z,1680.3
2025-05-05T09:18:00.000Z,2025-05-05T09:21:00.000Z,1683.2
2025-05-05T09:15:00.000Z,2025-05-05T09:18:00.000Z,1678.7
2025-05-05T09:12:00.000Z,2025-05-05T09:15:00.000Z,1679.2
2025-05-05T09:09:00.000Z,2025-05-05T09:12:00.000Z,1686.2
2025-05-05T09:06:00.000Z,2025-05-05T09:09:00.000Z,1687.2
2025-05-05T09:03:00.000Z,2025-05-05T09:06:00.000Z,1689.7
2025-05-05T09:00:00.000Z,2025-05-05T09:03:00.000Z,1670.3
2025-05-05T09:36:00.000Z,2025-05-05T09:39:00.000Z,1640.5
2025-05-05T09:33:00.000Z,2025-05-05T09:36:00.000Z,1653.3
2025-05-05T09:30:00.000Z,2025-05-05T09:33:00.000Z,1674.2
2025-05-05T09:42:00.000Z,2025-05-05T09:45:00.000Z,1661.5
2025-05-05T09:39:00.000Z,2025-05-05T09:42:00.000Z,1668.7
2025-05-05T09:45:00.000Z,2025-05-05T09:48:00.000Z,1679.7
2025-05-05T09:51:00.000Z,2025-05-05T09:54:00.000Z,1660.4
2025-05-05T09:48:00.000Z,2025-05-05T09:51:00.000Z,1677.2
2025-05-05T10:03:00.000Z,2025-05-05T10:06:00.000Z,1637.0
2025-05-05T10:00:00.000Z,2025-05-05T10:03:00.000Z,1601.0
2025-05-05T09:57:00.000Z,2025-05-05T10:00:00.000Z,1597.9
2025-05-05T09:54:00.000Z,2025-05-05T09:57:00.000Z,1633.2
2025-05-05T10:09:00.000Z,2025-05-05T10:12:00.000Z,1654.2
2025-05-05T10:06:00.000Z,2025-05-05T10:09:00.000Z,1650.7
2025-05-05T10:12:00.000Z,2025-05-05T10:15:00.000Z,1664.7
2025-05-05T10:15:00.000Z,2025-05-05T10:18:00.000Z,1668.0
2025-05-05T10:18:00.000Z,2025-05-05T10:21:00.000Z,1672.7
2025-05-05T10:24:00.000Z,2025-05-05T10:27:00.000Z,1666.5
2025-05-05T10:21:00.000Z,2025-05-05T10:24:00.000Z,1669.7
2025-05-05T10:27:00.000Z,2025-05-05T10:30:00.000Z,1661.0
2025-05-05T11:33:00.000Z,2025-05-05T11:36:00.000Z,1594.2
2025-05-05T11:30:00.000Z,2025-05-05T11:33:00.000Z,1615.5
2025-05-05T11:27:00.000Z,2025-05-05T11:30:00.000Z,1626.2
2025-05-05T11:24:00.000Z,2025-05-05T11:27:00.000Z,1635.3
2025-05-05T11:21:00.000Z,2025-05-05T11:24:00.000Z,1646.5
2025-05-05T11:18:00.000Z,2025-05-05T11:21:00.000Z,1655.7
2025-05-05T11:15:00.000Z,2025-05-05T11:18:00.000Z,1649.2
2025-05-05T11:12:00.000Z,2025-05-05T11:15:00.000Z,1664.0
2025-05-05T11:09:00.000Z,2025-05-05T11:12:00.000Z,1652.8
2025-05-05T11:06:00.000Z,2025-05-05T11:09:00.000Z,1642.6
2025-05-05T11:36:00.000Z,2025-05-05T11:39:00.000Z,1596.8
2025-05-05T11:42:00.000Z,2025-05-05T11:45:00.000Z,1596.8
2025-05-05T11:39:00.000Z,2025-05-05T11:42:00.000Z,1601.0
2025-05-05T11:45:00.000Z,2025-05-05T11:48:00.000Z,1600.8
2025-05-05T11:48:00.000Z,2025-05-05T11:51:00.000Z,1593.8
2025-05-05T11:51:00.000Z,2025-05-05T11:54:00.000Z,1595.7
2025-05-05T11:54:00.000Z,2025-05-05T11:57:00.000Z,1586.8
2025-05-05T11:57:00.000Z,2025-05-05T12:00:00.000Z,1582.8
2025-05-05T12:18:00.000Z,2025-05-05T12:21:00.000Z,1649.2
2025-05-05T12:15:00.000Z,2025-05-05T12:18:00.000Z,1672.7
2025-05-05T12:12:00.000Z,2025-05-05T12:15:00.000Z,1678.7
2025-05-05T12:09:00.000Z,2025-05-05T12:12:00.000Z,1689.2
2025-05-05T12:06:00.000Z,2025-05-05T12:09:00.000Z,1636.0
2025-05-05T12:03:00.000Z,2025-05-05T12:06:00.000Z,1608.3
2025-05-05T12:00:00.000Z,2025-05-05T12:03:00.000Z,1609.5
2025-05-05T13:00:00.000Z,2025-05-05T13:03:00.000Z,1638.0
2025-05-05T12:57:00.000Z,2025-05-05T13:00:00.000Z,1657.0
2025-05-05T12:54:00.000Z,2025-05-05T12:57:00.000Z,1658.8
2025-05-05T12:51:00.000Z,2025-05-05T12:54:00.000Z,1671.7
2025-05-05T12:48:00.000Z,2025-05-05T12:51:00.000Z,1665.2
2025-05-05T12:45:00.000Z,2025-05-05T12:48:00.000Z,1655.0
2025-05-05T12:42:00.000Z,2025-05-05T12:45:00.000Z,1662.3
2025-05-05T12:39:00.000Z,2025-05-05T12:42:00.000Z,1670.3
2025-05-05T12:36:00.000Z,2025-05-05T12:39:00.000Z,1664.7
2025-05-05T12:33:00.000Z,2025-05-05T12:36:00.000Z,1636.3
